iter	MultiClass
0	1.282274844
1	1.214587754
2	1.155084824
3	1.111365468
4	1.074438835
5	1.045958167
6	1.020386421
7	0.999328129
8	0.9784339359
9	0.9609274985
10	0.9472879423
11	0.9346444168
12	0.9212377354
13	0.9136775551
14	0.9015230113
15	0.8919168817
16	0.8864436452
17	0.8811898106
18	0.8752950467
19	0.8731381688
20	0.8671614452
21	0.8595938155
22	0.8558207083
23	0.8536640053
24	0.8495478299
25	0.8463224642
26	0.8412095955
27	0.8359857824
28	0.8346605514
29	0.8330708159
30	0.8324653171
31	0.8318573326
32	0.8292354213
