iter	Passed	Remaining
0	7	375498
1	11	299454
2	15	264935
3	19	246725
4	23	238894
5	28	233830
6	32	230250
7	36	226989
8	40	224477
9	44	222616
10	48	220686
11	52	219537
12	57	219540
13	61	219434
14	65	219244
15	70	219359
16	74	219295
17	78	219142
18	83	218673
19	87	217742
20	91	216693
21	95	215903
22	98	214839
23	102	214169
24	106	213441
25	110	213121
26	114	212567
27	118	211909
28	122	211416
29	126	211194
30	130	210710
31	134	210536
32	139	210637
33	143	210628
34	147	210604
35	152	211211
36	156	211280
37	160	210867
38	164	210485
39	168	210432
40	172	210516
41	176	210128
42	180	209857
43	184	209540
44	188	209435
45	192	209400
46	196	209315
47	200	209042
48	205	209057
49	209	209093
50	213	209245
51	218	209467
52	222	209437
53	226	209202
54	230	209118
55	234	208872
56	238	208644
57	242	208429
58	246	208365
59	250	208531
60	254	208490
61	258	208563
62	263	208624
63	267	208668
64	271	208440
65	275	208309
66	279	208217
67	283	208318
68	287	208374
69	292	208285
70	296	208175
71	300	208054
72	304	208061
73	308	208029
74	312	207873
75	316	207788
76	320	207664
77	324	207440
78	328	207780
79	332	207674
80	336	207397
81	340	207228
82	344	207141
83	348	206966
84	352	207020
85	356	207122
86	361	207149
87	364	207003
88	369	207147
89	373	206956
90	376	206734
91	380	206628
92	384	206543
93	388	206370
94	392	206368
95	396	206235
96	400	206227
97	404	206147
98	408	206099
99	412	206020
100	416	205899
101	420	205824
102	424	205680
103	428	205524
104	432	205667
105	436	205637
106	440	205522
107	445	205598
108	449	205627
109	453	205704
110	457	205771
111	461	205783
112	466	205759
113	470	205735
114	474	205635
115	478	205642
116	482	205576
117	486	205566
118	490	205781
119	495	205767
120	499	205772
121	503	205722
122	507	205632
123	511	205621
124	515	205558
125	519	205500
126	523	205708
127	528	205968
128	533	206122
129	537	206217
130	541	206157
131	545	206061
132	549	205970
133	553	205820
134	557	205822
135	561	205763
136	565	205729
137	569	205703
138	573	205742
139	577	205656
140	581	205628
141	585	205630
142	590	205721
143	594	205695
144	598	205656
145	602	205616
146	606	205571
147	610	205557
148	614	205496
149	618	205508
150	622	205403
151	625	205271
152	630	205298
153	634	205510
154	639	205499
155	643	205534
156	647	205607
157	652	205723
158	656	205687
159	660	205751
160	664	205734
161	668	205740
162	672	205763
163	677	205747
164	681	205829
165	686	205992
166	690	206105
167	695	206186
168	699	206182
169	703	206296
170	708	206338
171	712	206274
172	715	206186
173	719	206124
174	723	206124
175	727	206078
176	732	206057
177	736	206106
178	740	206110
179	744	206086
180	748	206061
181	752	206026
182	756	205946
183	761	206148
184	765	206222
185	770	206308
186	774	206268
187	778	206260
188	782	206280
189	786	206244
190	790	206272
191	795	206278
192	799	206198
193	802	206122
194	806	206043
195	810	206045
196	815	206075
197	819	206034
198	823	205994
199	827	205933
200	831	205891
201	835	205871
202	839	205850
203	843	205823
204	847	205777
205	851	205741
206	855	205739
207	859	205680
208	863	205671
209	867	205619
210	870	205505
211	875	205520
212	879	205514
213	883	205508
214	887	205519
215	891	205553
216	896	205571
217	900	205636
218	904	205659
219	909	205718
220	913	205697
221	917	205719
222	921	205690
223	925	205735
224	930	205773
225	934	205797
226	938	205777
227	942	205800
228	946	205802
229	951	205795
230	954	205725
231	959	205774
232	963	205734
233	967	205723
234	971	205803
235	976	205804
236	980	205812
237	983	205724
238	987	205690
239	992	205699
240	995	205621
241	999	205527
242	1003	205469
243	1007	205365
244	1010	205301
245	1014	205261
246	1018	205241
247	1023	205241
248	1026	205190
249	1031	205227
250	1035	205147
251	1039	205134
252	1043	205150
253	1047	205108
254	1050	205022
255	1054	204948
256	1058	204926
257	1062	204873
258	1066	204841
259	1070	204787
260	1074	204793
261	1079	204863
262	1082	204809
263	1087	204798
264	1091	204788
265	1094	204686
266	1098	204572
267	1101	204470
268	1105	204419
269	1109	204297
270	1113	204300
271	1117	204249
272	1121	204205
273	1125	204219
274	1129	204204
275	1133	204136
276	1137	204113
277	1141	204126
278	1144	204041
279	1148	204011
280	1152	203902
281	1156	203836
282	1159	203726
283	1163	203674
284	1167	203629
285	1171	203580
286	1174	203511
287	1178	203402
288	1182	203327
289	1185	203251
290	1189	203208
291	1193	203095
292	1196	203044
293	1200	202996
294	1204	202994
295	1208	202921
296	1212	202881
297	1216	202812
298	1220	202800
299	1223	202720
300	1227	202670
301	1230	202575
302	1234	202534
303	1238	202493
304	1242	202413
305	1246	202390
306	1250	202393
307	1253	202297
308	1257	202213
309	1261	202151
310	1265	202129
311	1268	202082
312	1272	202068
313	1276	201989
314	1280	201963
315	1284	201910
316	1288	201878
317	1291	201780
318	1295	201701
319	1298	201639
320	1302	201514
321	1306	201506
322	1309	201461
323	1313	201440
324	1317	201433
325	1321	201415
326	1325	201396
327	1329	201314
328	1333	201289
329	1336	201231
330	1340	201175
331	1344	201109
332	1347	201053
333	1351	200984
334	1355	200891
335	1358	200821
336	1362	200732
337	1365	200650
338	1368	200543
339	1373	200540
340	1376	200449
341	1380	200424
342	1383	200343
343	1387	200289
344	1391	200236
345	1395	200218
346	1399	200189
347	1402	200095
348	1406	200082
349	1410	200020
350	1413	199917
351	1417	199873
352	1420	199842
353	1424	199781
354	1428	199746
355	1432	199718
356	1436	199694
357	1439	199665
358	1443	199670
359	1447	199587
360	1451	199575
361	1455	199535
362	1458	199457
363	1462	199426
364	1466	199376
365	1469	199334
366	1473	199275
367	1477	199222
368	1481	199198
369	1484	199121
370	1488	199079
371	1491	198988
372	1495	198945
373	1499	198912
374	1502	198863
375	1506	198847
376	1510	198844
377	1514	198847
378	1519	198881
379	1522	198835
380	1526	198811
381	1530	198793
382	1534	198780
383	1537	198716
384	1541	198669
385	1545	198638
386	1549	198613
387	1552	198572
388	1556	198552
389	1560	198518
390	1564	198457
391	1567	198393
392	1571	198353
393	1575	198341
394	1578	198282
395	1582	198174
396	1585	198130
397	1589	198069
398	1593	198035
399	1596	197977
400	1600	197951
401	1604	197961
402	1608	197936
403	1612	197921
404	1616	197899
405	1619	197866
406	1624	197890
407	1627	197853
408	1631	197821
409	1635	197791
410	1639	197772
411	1642	197727
412	1646	197691
413	1650	197628
414	1653	197598
415	1657	197556
416	1661	197522
417	1664	197469
418	1668	197462
419	1672	197430
420	1676	197410
421	1680	197374
422	1683	197295
423	1686	197231
424	1690	197194
425	1694	197149
426	1697	197105
427	1701	197047
428	1704	196986
429	1708	196956
430	1712	196903
431	1715	196860
432	1719	196837
433	1723	196818
434	1726	196738
435	1729	196661
436	1733	196610
437	1737	196578
438	1740	196544
439	1744	196514
440	1748	196465
441	1751	196406
442	1755	196407
443	1759	196377
444	1762	196325
445	1766	196274
446	1770	196247
447	1774	196235
448	1778	196240
449	1781	196217
450	1785	196194
451	1789	196181
452	1793	196130
453	1796	196064
454	1800	196020
455	1804	196034
456	1808	196032
457	1812	196032
458	1816	196031
459	1820	196012
460	1823	195980
461	1828	196008
462	1831	196006
463	1835	195937
464	1839	195949
465	1843	195984
466	1847	196008
467	1851	196004
468	1855	195934
469	1858	195886
470	1862	195810
471	1865	195785
472	1869	195764
473	1873	195768
474	1877	195725
475	1880	195688
476	1884	195616
477	1887	195563
478	1891	195541
479	1895	195534
480	1898	195463
481	1901	195395
482	1905	195348
483	1909	195304
484	1912	195258
485	1916	195224
486	1919	195196
487	1923	195134
488	1926	195089
489	1930	195089
490	1934	195046
491	1938	195029
492	1941	194977
493	1945	194931
494	1948	194908
495	1952	194884
496	1955	194822
497	1960	194829
498	1963	194826
499	1967	194818
500	1971	194813
501	1975	194814
502	1979	194822
503	1984	194848
504	1988	194848
505	1992	194856
506	1995	194805
507	1999	194771
508	2003	194763
509	2006	194737
510	2010	194718
511	2014	194670
512	2018	194669
513	2021	194669
514	2025	194638
515	2028	194578
516	2032	194555
517	2036	194536
518	2040	194522
519	2043	194465
520	2047	194417
521	2051	194406
522	2054	194378
523	2058	194372
524	2062	194332
525	2065	194276
526	2068	194209
527	2072	194183
528	2075	194133
529	2079	194088
530	2082	194047
531	2086	194003
532	2089	193932
533	2093	193893
534	2096	193880
535	2100	193874
536	2104	193859
537	2107	193798
538	2111	193732
539	2115	193725
540	2119	193723
541	2122	193695
542	2126	193666
543	2130	193650
544	2134	193657
545	2138	193656
546	2143	193773
547	2147	193779
548	2151	193792
549	2155	193777
550	2159	193775
551	2162	193733
552	2166	193737
553	2171	193770
554	2174	193770
555	2179	193778
556	2183	193789
557	2187	193798
558	2191	193791
559	2194	193774
560	2199	193823
561	2203	193844
562	2207	193827
563	2210	193758
564	2214	193746
565	2218	193725
566	2222	193743
567	2226	193745
568	2229	193696
569	2232	193628
570	2236	193621
571	2240	193617
572	2244	193582
573	2247	193539
574	2250	193487
575	2254	193442
576	2258	193419
577	2261	193362
578	2264	193309
579	2268	193269
580	2271	193226
581	2275	193204
582	2279	193207
583	2283	193194
584	2287	193193
585	2291	193215
586	2295	193224
587	2299	193212
588	2303	193198
589	2306	193200
590	2310	193148
591	2313	193100
